Country,player_id,player_name,Kicker_Foot,Kicker_Side,Goalie_Side,Outcome,goalkeeper_name,goalkeeper_id,Home_Goals,Away_Goals,Minute,Team_Type
England,73.0,Son,R,L,L,1,Raya,48.0,1,3,87,H
England,56.0,Haaland,L,L,R,1,José Sá,43.0,0,0,12,H
England,88.0,Diaz,R,C,R,1,Sels,60.0,0,0,17,H
England,86.0,Dominic,R,C,L,1,Kaminski,34.0,0,0,24,A
England,54.0,Saka,L,L,R,1,Travers,61.0,0,0,45,H
England,56.0,Haaland,L,L,L,1,José Sá,43.0,2,0,45,H
England,76.0,Alvarez,R,R,L,1,Leno,37.0,0,3,90,A
England,49.0,Morris,R,R,L,1,Leno,37.0,0,1,45,H
England,58.0,Salah,L,L,R,0,Neto,46.0,2,1,35,H
England,71.0,Enzo,R,L,L,0,Areola,44.0,1,1,43,A
England,56.0,Haaland,L,R,L,0,Wes,50.0,0,0,37,A
England,55.0,Bruno F.,R,L,L,0,Sanchez,39.0,0,0,9,H
England,89.0,Said,R,R,R,0,Raya,48.0,0,2,90,A
England,58.0,Salah,L,C,C,0,Dubravaka,54.0,0,0,22,H
England,90.0,Darwin,R,R,L,0,Petrovic,56.0,2,0,45,H
England,91.0,Beto,R,R,R,0,Areola,44.0,0,0,45,H
England,75.0,Solanke,R,L,L,0,Ivo G.,62.0,0,0,14,H
England,,Isak,R,L,L,0,Muric,57.0,0,3,52,A
England,48.0,João Pedro,R,L,L,0,Olsen,63.0,1,0,87,H
Italy,92.0,Theo Hernández,L,L,R,1,Marco Silvestri,64.0,0,1,11,H
Italy,93.0,Marko Arnautovic,R,R,L,1,Luís Maximiano,65.0,0,0,38,A
Italy,94.0,Dušan Vlahović,L,C,L,1,Andrea Consigli,66.0,1,0,43,H
Italy,95.0,M'Bala Nzola,L,R,L,1,Andrea Consigli,66.0,1,1,45,H
Italy,96.0,Teun Koopmeiners,L,C,L,1,Vanja Milinkovič-Savič,67.0,0,0,45,H
Italy,93.0,Marko Arnautovic,R,L,R,1,Luigi Sepe,68.0,0,0,52,H
Italy,96.0,Teun Koopmeiners,L,R,R,1,Vanja Milinkovič-Savič,67.0,2,1,84,H
Italy,97.0,Krzysztof Piatek,R,R,L,1,Mattia Perin,69.0,0,1,45,A
Italy,98.0,Olivier Giroud,L,L,R,1,Emil Audero,70.0,1,1,67,A
Italy,99.0,Ciro Immobile,R,R,L,1,Ionuţ Radu,71.0,0,1,21,A
Italy,100.0,Matteo Politano,L,L,L,1,Mike Maignan,72.0,0,0,55,A
Italy,101.0,Daniel Ciofani,R,R,R,1,Wladimiro Falcone,73.0,0,0,19,A
Italy,102.0,Andrea Pinamonti,R,L,L,1,Luigi Sepe,68.0,1,0,39,A
Italy,103.0,Gabriel Strefezza,R,R,L,1,Ionuţ Radu,71.0,0,1,42,H
Italy,100.0,Matteo Politano,L,L,R,1,Ionuţ Radu,71.0,0,0,26,A
Italy,104.0,Paulo Dybala,L,L,R,1,Wladimiro Falcone,73.0,1,1,48,H
Italy,105.0,Luis Muriel,R,L,L,1,Marco Silvestri,64.0,0,1,56,A
Italy,106.0,Lorenzo Pellegrini,R,L,L,1,Emil Audero,70.0,0,0,9,A
Italy,93.0,Marko Arnautovic,R,L,R,1,Wladimiro Falcone,73.0,0,0,13,H
Italy,42.0,Arthur Cabral,R,R,L,1,André Onana,49.0,0,2,33,H
Italy,107.0,Lautaro Martínez,R,R,L,1,Pietro Terracciano,74.0,2,2,73,A
Italy,108.0,Andrea Petagna,L,R,L,1,Lukasz Skorupski,75.0,0,0,57,H
Italy,109.0,Ademola Lookman,R,R,L,1,Alex Meret,76.0,0,0,19,H
Italy,110.0,Saša Lukić,R,L,L,1,Lukasz Skorupski,75.0,0,0,26,A
Italy,111.0,Hakan Çalhanoğlu,R,R,L,1,Lukasz Skorupski,75.0,4,1,59,H
Italy,112.0,Hirving Lozano,R,L,L,1,Vicario,36.0,0,0,69,H
Italy,109.0,Ademola Lookman,L,R,R,1,André Onana,49.0,0,0,25,H
Italy,113.0,Matteo Pessina,L,R,L,1,Luigi Sepe,68.0,2,0,76,H
Italy,106.0,Lorenzo Pellegrini,R,R,L,1,Lukasz Skorupski,75.0,0,0,6,H
Italy,114.0,Domenico Berardi,L,R,R,1,Emil Audero,70.0,0,2,64,H
Italy,114.0,Domenico Berardi,L,R,L,1,Pietro Terracciano,74.0,1,0,57,A
Italy,115.0,Eljif Elmas,R,L,R,1,Emil Audero,70.0,0,1,82,A
Italy,116.0,Nico González,L,R,R,1,Andrea Consigli,66.0,1,1,90,H
Italy,117.0,Gianluca Caprari,R,L,R,1,Marco Carnesechi,77.0,0,1,19,A
Italy,109.0,Ademola Lookman,R,R,R,1,Guillermo Ochoa,18.0,1,1,20,H
Italy,95.0,M'Bala Nzola,L,R,R,1,Vanja Milinkovič-Savič,67.0,0,0,28,A
Italy,118.0,Mattia Zaccagni,R,L,L,1,Gianluca Pegolo,78.0,0,0,45,A
Italy,9.0,Ángel Di María,L,R,L,1,Juan Musso,79.0,0,1,25,H
Italy,119.0,David Okereke,R,C,L,1,Lukasz Skorupski,75.0,0,0,50,A
Italy,120.0,Luis Alberto,R,C,L,1,Ciprian Tătărușanu,80.0,2,0,67,H
Italy,121.0,Armand Laurienté,R,L,L,1,Ciprian Tătărușanu,80.0,1,3,47,A
Italy,122.0,Riccardo Orsolini,L,R,L,1,Pietro Terracciano,74.0,0,0,14,A
Italy,94.0,Dušan Vlahović,L,R,R,1,Guillermo Ochoa,18.0,0,0,26,A
Italy,123.0,Khvicha Kvaratskhelia,R,R,R,1,Bartlomiej Dragowski,81.0,0,0,47,A
Italy,113.0,Matteo Pessina,L,R,R,1,Emil Audero,70.0,1,2,90,H
Italy,104.0,Paulo Dybala,L,R,R,1,Wladimiro Falcone,73.0,1,0,17,A
Italy,124.0,Daniele Verde,L,L,L,1,Vicario,36.0,0,0,25,A
Italy,125.0,Romelu Lukaku,L,R,R,1,Marco Silvestri,64.0,0,0,20,H
Italy,126.0,Antonio Sanabria,R,L,R,1,Marco Carnesechi,77.0,0,0,41,H
Italy,127.0,Abdelhamid Sabiri,R,C,R,1,Lukasz Skorupski,75.0,0,1,68,H
Italy,99.0,Ciro Immobile,R,R,R,1,Luigi Sepe,68.0,0,1,69,A
Italy,101.0,Daniel Ciofani,R,L,L,1,Rui Patrício,82.0,1,1,83,H
Italy,116.0,Nico González,L,R,L,1,Mike Maignan,72.0,0,0,49,H
Italy,114.0,Domenico Berardi,L,L,R,1,Rui Patrício,82.0,1,2,45,A
Italy,125.0,Romelu Lukaku,L,R,L,1,Bartlomiej Dragowski,81.0,1,0,83,A
Italy,95.0,M'Bala Nzola,L,R,R,1,Samir Handanovič,83.0,1,1,87,H
Italy,123.0,Khvicha Kvaratskhelia,R,C,L,1,Vanja Milinkovič-Savič,67.0,0,1,35,A
Italy,128.0,Zlatan Ibrahimović,R,C,R,1,Marco Silvestri,64.0,1,0,45,A
Italy,114.0,Domenico Berardi,L,R,R,1,Bartlomiej Dragowski,81.0,0,0,71,H
Italy,101.0,Daniel Ciofani,R,C,L,1,Juan Musso,79.0,0,1,56,H
Italy,129.0,Francesco Caputo,R,C,R,1,Wladimiro Falcone,73.0,0,0,62,H
Italy,104.0,Paulo Dybala,L,L,R,1,Nicola Ravaglia,84.0,1,0,88,H
Italy,104.0,Paulo Dybala,L,C,L,1,Vanja Milinkovič-Savič,67.0,0,0,8,A
Italy,91.0,Beto,R,R,L,1,Michele Di Gregorio,85.0,1,2,90,H
Italy,99.0,Ciro Immobile,R,L,R,1,Bartlomiej Dragowski,81.0,0,0,36,A
Italy,42.0,Arthur Cabral,R,L,R,1,Marco Sportiello,86.0,0,1,56,H
Italy,130.0,Simone Verdi,R,L,R,1,Lukasz Skorupski,75.0,0,0,45,H
Italy,113.0,Matteo Pessina,L,R,L,1,Pietro Terracciano,74.0,2,2,59,H
Italy,122.0,Riccardo Orsolini,L,R,L,1,Wojciech Szczesny,87.0,0,0,10,H
Italy,103.0,Gabriel Strefezza,L,R,L,1,Marco Silvestri,64.0,0,0,62,H
Italy,114.0,Domenico Berardi,L,R,R,1,Vicario,36.0,1,1,90,H
Italy,131.0,Assan Ceesay,L,R,R,1,Wojciech Szczesny,87.0,1,0,37,A
Italy,,Boulaye Dia,L,R,R,1,Pietro Terracciano,74.0,2,2,81,H
Italy,122.0,Riccardo Orsolini,L,L,R,1,Vicario,36.0,3,0,88,A
Italy,133.0,Victor Osimhen,R,L,R,1,Pietro Terracciano,74.0,0,0,74,H
Italy,129.0,Francesco Caputo,R,L,L,1,Wojciech Szczesny,87.0,0,0,18,H
Italy,98.0,Olivier Giroud,L,L,R,1,Nicola Ravaglia,84.0,2,1,29,H
Italy,114.0,Domenico Berardi,L,R,L,1,Michele Di Gregorio,85.0,0,0,45,H
Italy,99.0,Ciro Immobile,R,R,L,1,Marco Silvestri,64.0,0,0,61,A
Italy,134.0,Lorenzo Colombo,L,C,R,1,Michele Di Gregorio,85.0,0,0,90,A
Italy,135.0,Cristian Buonaiuto,R,R,L,1,Guillermo Ochoa,18.0,0,0,26,H
Italy,98.0,Olivier Giroud,L,L,R,1,Lorenzo Montipò,88.0,0,0,45,H
Italy,133.0,Victor Osimhen,R,R,R,1,Martin Turk,89.0,0,0,64,H
Italy,114.0,Domenico Berardi,L,L,R,1,Michele Cerofolini,90.0,0,1,71,H
Italy,104.0,Paulo Dybala,L,L,L,1,Jeroen Zoet,91.0,1,1,90,H
Italy,114.0,Domenico Berardi,L,L,L,0,Mike Maignan,72.0,0,0,23,H
Italy,134.0,Lorenzo Colombo,L,R,R,0,Alex Meret,76.0,0,0,25,A
Italy,136.0,Luka Jovic,R,L,L,0,Mattia Perin,69.0,1,1,44,A
Italy,106.0,Lorenzo Pellegrini,R,L,L,0,Vicario,36.0,1,2,80,A
Italy,137.0,Leonardo Bonucci,R,L,L,0,Luigi Sepe,68.0,2,2,90,H
Italy,138.0,Cristiano Biraghi,L,R,R,0,Lorenzo Montipò,88.0,1,0,26,H
Italy,99.0,Ciro Immobile,R,L,L,0,Bartlomiej Dragowski,81.0,0,0,3,H
Italy,139.0,Cyriel Dessers,R,R,R,0,Emil Audero,70.0,0,0,7,H
Italy,96.0,Teun Koopmeiners,L,C,L,0,Vicario,36.0,0,1,42,A
Italy,101.0,Daniel Ciofani,R,C,C,0,Luigi Sepe,68.0,2,2,89,A
Italy,140.0,Andrea Belotti,R,C,R,0,Vanja Milinkovič-Savič,67.0,0,1,90,H
Italy,100.0,Matteo Politano,L,R,R,0,Emil Audero,70.0,0,0,6,A
Italy,96.0,Teun Koopmeiners,L,R,R,0,Guillermo Ochoa,18.0,3,1,38,H
Italy,124.0,Daniele Verde,L,R,R,0,Vicario,36.0,0,0,22,A
Italy,127.0,Abdelhamid Sabiri,R,R,R,0,Lukasz Skorupski,75.0,1,1,71,H
Italy,120.0,Luis Alberto,R,L,L,0,Luigi Sepe,68.0,0,2,90,A
Italy,107.0,Lautaro Martínez,R,R,R,0,Bartlomiej Dragowski,81.0,0,0,14,A
Italy,94.0,Dušan Vlahović,L,L,R,0,Martin Turk,89.0,3,2,69,H
Italy,141.0,Bryan Cristante,R,R,L,0,Marco Silvestri,64.0,1,0,37,H
Italy,142.0,Roberto Pereyra,R,L,L,0,Rui Patrício,82.0,2,0,69,A
Italy,143.0,Arkadiusz Milik,L,L,L,0,Lukasz Skorupski,75.0,1,1,31,H
Italy,133.0,Victor Osimhen,R,R,R,0,Pietro Terracciano,74.0,1,0,48,H
Italy,103.0,Gabriel Strefezza,R,L,L,0,Ivan Provedel,92.0,2,2,23,A
Italy,144.0,Christian Gytkjær,R,L,L,0,Wladimiro Falcone,73.0,0,1,84,H
Italy,128.0,Zlatan Ibrahimović,R,R,R,1,Lukasz Skorupski,75.0,1,0,51,H
Italy,145.0,Jordan Veretout,R,L,L,1,Wojciech Szczesny,87.0,0,0,31,H
